logFC,logCPM,LR,PValue,FDR,gene
-0.5829303169769041,9.613110492546518,10.091921642966241,0.0014892072709915861,0.028521556646599725,CDC42EP1
0.6682094586792259,6.919283767867037,9.971183647654186,0.0015900923708509036,0.03028911089123559,DNAJB4
-0.6980994198136281,13.077509228745518,9.920193768380614,0.0016347517046335011,0.03097239251144332,SLC7A5
0.5569082545177393,7.957455779381939,9.864790729486998,0.001684718386966614,0.03174838286454731,HSPA13
0.7819029279134259,5.848949386174988,9.846761824409155,0.0017013097164510747,0.031890507663689296,PTCHD4
-0.5677855886078091,7.467273739533905,9.830562075262531,0.0017163589195827351,0.03193855656980648,FAM20C
-0.6857458899223734,9.604871624916507,9.824527460192996,0.0017219993610281589,0.03193855656980648,ZYX
2.0077680317126805,1.5980190542370363,9.794484536003019,0.0017503606901390159,0.03229461294266959,CXCR4
1.570892420002946,1.4667505883322172,9.7247483649152109,0.001818032097023623,0.03336846411412108,HLA-DRA
1.3243457693554956,2.379904972162036,9.678575033510539,0.0018642916127976415,0.034040226132118594,PPP1R3C
-1.9982956044683537,7.845677641241683,9.573040230032944,0.0019745551949353155,0.03586769333480439,SPRR2A
-1.2947723579618857,2.5289698076433598,9.532399323230221,0.0020187603049053597,0.03648262212557173,LPAR3
-1.8985687882325806,0.4841666924658127,9.481312919724116,0.0020757536358469685,0.037321203126146514,NEURL2
-1.2420448645474786,2.336869633915519,9.452746045016205,0.002108332144087494,0.037714530333829085,GSTA2
0.7391385978572446,6.649332327746283,9.378390621928475,0.0021955822433566167,0.039076928412064234,TMED7-TICAM2
1.6222029161123352,10.521805860493153,9.236724713669446,0.0023720886689441692,0.04200623351436811,CXCL5
-0.8527193811186984,8.8477991944948,9.091857002982437,0.0025675004769222837,0.04523935840337064,JUN
2.766068955434447,3.5851856462391387,9.080611183885745,0.0025833369786648747,0.04529193787470158,STAC2
-0.6537566729810439,9.928590487411238,9.027476870927785,0.0026595131629805215,0.04639665537793741,GJB3
-0.7623141345077288,5.88413012079497,8.946836426138006,0.002779505251264067,0.04825111579041661,JPH1
0.6434391846132628,7.059484779377212,8.93531495878917,0.0027970923342604754,0.04831839895065644,S1PR3
0.9267557615563047,5.234590354443838,8.91046960618965,0.0028354034225070595,0.04855322485962353,PTX3
1.1795581288767656,2.258717062232163,8.901003282400957,0.0028501401453570915,0.04855322485962353,EID3
-1.0006392646046318,5.923174902730433,8.893950632990453,0.0028611699199359705,0.04855322485962353,CHRNB1
-1.1198326609789633,3.1845691239349376,8.890999819504493,0.0028657976080595044,0.04855322485962353,IL22RA1
-0.5240242541723775,8.488407958375344,8.868155634163799,0.002901881781572666,0.04892933683378983,TNFRSF21
-1.2921942597194214,1.6202543681940895,8.858110496593172,0.0029178946083474704,0.0489650504753166,LGALS2
1.8124172429974277,0.12025347636197141,8.834450082299666,0.0029559669779166443,0.04936885132785902,CFHR1
-1.0368193294080583,6.5391938276445805,8.757308256915394,0.003083638354804367,0.05125821491665372,ARFGEF3
-0.5350779167545148,9.025600667150131,8.711842932870354,0.003161494396812705,0.05230566316604682,SYNGR2
-0.8643290308245576,6.915083787151009,8.660899026529691,0.0032511085367567132,0.053536946184722704,RHOV
-0.7750746825877931,8.550964916424144,8.631105909495489,0.003304708915103582,0.05366076992455485,IVL
-2.1365132477149236,0.601802584718855,8.630941163592368,0.0033050077907933306,0.05366076992455485,RPL9P7
0.6370230338872508,6.559666302030627,8.621676661817247,0.003321859383171325,0.05366076992455485,PCDHAC2
-0.6474256383645307,6.764769140909056,8.621354000951499,0.003322447855832774,0.05366076992455485,DBNDD2
-0.5629644819959243,8.76356019669718,8.6146142858629,0.0033347640787393623,0.05366076992455485,PHLDA2
-1.1996790856326558,4.043627704215095,8.567300192991787,0.0034225429597068927,0.05482291540912314,NOXA1
0.556699181369463,9.446228986277342,8.551927361042544,0.0034515659200433204,0.055037639376618375,PROCR
0.7640054335688977,5.57099839074691,8.46248737597574,0.003625457223212891,0.05755005069640644,EREG
-0.5339539603620187,8.063152799141886,8.41303993059688,0.0037253921500658405,0.05887121944767723,BOK
-1.1724232217561186,2.848698056656964,8.394789107431858,0.0037629816707865347,0.05919976521362388,CDC42EP5
-0.8412945457031846,5.927075577279191,8.377595734756085,0.0037987461493976405,0.059496806357676825,ABTB2
-0.5643062638738012,7.255465758073169,8.359862225988582,0.0038359965033080267,0.059814387954236665,H2BC12
-1.0644378138491888,3.1594852564703952,8.323417549784352,0.003913721742102123,0.06075751285977041,PRIMA1
0.49126189586396285,8.555026034110275,8.259711297255706,0.0040534573655571764,0.06265080594834864,C5orf15
-0.535837948105724,7.899974436254467,8.204735946802487,0.0041781188935360505,0.06429559380271198,UNC93B1
0.975189586180526,3.8944261343926074,8.190199162870906,0.004211729961923071,0.06434769599472019,SAMD5
1.5768116726065167,1.9288664476231279,8.1874899754660575,0.00421802434017604,0.06434769599472019,CNRIP1
-1.6122526421279844,0.3418289840109634,8.159902947790346,0.004282666302003299,0.06505222434594667,LTC4S
1.1717392791033547,2.3736704405251574,8.150756322103444,0.0043043205632292,0.06510053933399013,MEX3B
0.6542994808339267,8.43332289048734,8.134619056326684,0.0043427970564991775,0.06540178131240641,CMBL
1.1982583037097225,3.2157266875589667,8.042867874714556,0.004568315528189812,0.06850529328230169,CD1D
1.508570274957491,5.8390060227968545,8.024764022361595,0.004614203734167702,0.06890022864070755,NOMO3
-1.3445140475820518,1.0733612934154464,7.926161057411966,0.0048725067645432225,0.07245026935970598,ALPK3
-2.059006605491602,0.6779536404300579,7.8830128069882495,0.004990127903664027,0.07388744005257156,LOC128031837
-1.106221242033215,3.5447078555349947,7.842936193077701,0.005101967064875775,0.0752273302787541,GIMAP8
1.3242309067799491,1.3485067753320497,7.829096711084875,0.0051411786147464245,0.07548963932652666,SYT11
1.5930214011062755,0.35972186970040476,7.8137843215952625,0.005184921438556766,0.07577983903257478,C6orf58
-1.4268601647937122,0.6913431901062235,7.807164209527073,0.005203950353542309,0.07577983903257478,CSPG4P10
-0.7085641722477654,5.6594436936475025,7.725505991478091,0.005444609901159897,0.0789580464678497,NALF2
1.1270177132868318,2.2132565098388084,7.699880484743662,0.005522448199445511,0.07975863711002451,IGFL2
1.6335437037745963,0.21574439366292042,7.680851106097297,0.005580984006120997,0.08027505158191997,TEX22
-2.016916907494511,5.83907601157493,7.650923347377386,0.005674327080714954,0.08125792375120633,UTP4
-1.5003997511137268,0.8057034655770131,7.644225843601262,0.005695433361676493,0.08125792375120633,STX19
-1.9369310835644298,3.1223004785668054,7.5754757899138285,0.005916775976796111,0.08380204666103251,CRCT1
-0.5905081027745603,7.633365999131958,7.5652922130887355,0.00595030061302096,0.08380204666103251,PLSCR3
-1.2562471009344693,2.1680041142048454,7.563963514593841,0.0059546889974547235,0.08380204666103251,TMEM86A
-0.8750177897535302,4.4502832692675245,7.559675308036975,0.005968874492599081,0.08380204666103251,CRYAB
-1.6071897670755355,0.4351672533055987,7.5521306580335414,0.005993916136213834,0.08381968438102202,ACTL11P
-1.1063184040484972,2.0777981336274847,7.518842959418334,0.00610568854692838,0.08504524284338186,NYNRIN
1.261945796603868,2.8782753203159115,7.509357602157028,0.006137925920969516,0.08515768088778179,NPTXR
1.491838185952271,2.0235219675224267,7.497186800623192,0.006179544756352257,0.08539888518190336,KLF15
-0.5056034286767355,9.710472354303658,7.487898571745177,0.00621150013035204,0.0855051814818773,ARHGDIB
-0.9520014053477094,4.306378002670112,7.4509010149389745,0.006340470185509594,0.08694092192115101,XK
-1.2757432012866947,4.156339440702036,7.381192733484816,0.006590944502634835,0.09002514894296573,ADM2
1.2917342920244885,1.5594864422496888,7.306607718303626,0.006870150029995857,0.09319630679087297,CLEC12B
-1.6328113127009478,0.26898575028099253,7.30507714463271,0.00687600447378745,0.09319630679087297,PDX1
0.9034484848257034,4.042081591422015,7.281998315333043,0.0069649013161848725,0.09403951049132372,PI15
-1.1617236183874018,6.196499111860944,7.2671077676421305,0.007022880192476312,0.09446041907742948,GDF15
1.1541544861447035,2.002821440292224,7.247628920048961,0.007099469566016709,0.09498596759527589,KLRC3
1.5914859178013925,0.5542403635816837,7.243487918784948,0.007115861363550748,0.09498596759527589,XKR3
